Username	TimeStamp	ThumbUp	ThumbDown	Comment	Url	Media
Justin Y	9 minutes ago	0	0	Thumbs up were green on monday , thumbs down we're red on monday. This will accurately dictate the market	[]	[]
Agentkagent	4 hours ago	4	0	I don't understand why people buy stocks. Stocks have no intrinsic value if no dividend is attached. Without dividend, stocks are worthless. If you buy bond, I understand you get interest. But stocks, why?	[]	[]
Frank	4 hours ago	0	0	Real Time with Bill Maher (HBO)  	['https://www.youtube.com/watch?v=UcvIQJ-QurQ&feature=youtu.be']	[]
joe	4 hours ago	1	0	TA players claim such factor as unemployment, fear of people shopping, social distancing, and fundamental damages will cause the economy collapse. But ain't TA readers not to include all these fundamental. the difference between TA and fundamental approach is clear,but these shorts try to justify why S&P will drop to test the double bottom because of the government's artificial pump to prevent falling. It seems to me shorts are holding on to what they want to see. That ecomy must collapse based on the fundamental damage. The chart is telling me the higher high will continue to rise according to TA, so I am all in going higher next week to test and will surpass it making new highs. I saw an interview about a week ago of Akinson saying he is fully participating the recent bottom. He not the only heavy hedge fund. these guy have taken recent low positions. I believe the biggest US government pump in the market will go over the high and create new highs. Because it is Trump's political agenda to win the 2nd term. by September, new S&P high!!! More	[]	[]
JP Valadez	5 hours ago	2	0	I've had phenomenal returns by simply understanding a handful of fundamental rules in the age of monetary policy: 1. The market plummeting is caused mostly by institutional investors moving money out. The wealth gap is absolutely real. The retail investors usually liquidate as part of a cascading effect and FUD. 2. When the market plummets, there's a lag before monetary policy issues a stimulus of some sort. The faster and bigger the stimulus, in relative terms, the quicker the recovery. 3. Most of the money stays up top, why? Because major players have the most to lose, being heavily invested in equities. This includes every entity from banks and investment funds to small brokerages. Most shares are owned by institutional investors. 4. All of this money that you believe the little guy is getting through PPP is going straight to millionaire business owners, who in turn purchase equities. Think about how the big banks serviced loans requested by companies who had existing loans first (presumably to protect themselves from defaults), and second, worked top down from the largest loan request to the smallest (to service less loans, less paperwork, and higher profits from fees). The small business was ignored unless they banked at a local bank. 5. Investors, millionaires, and everyone with some sort of substantial stake in the markets, understands that this type of monetary policy can potentially drive equities to ATHs. There's just too much fake money being pumped into the markets. When the Secretary of the Treasury was a Goldman Sachs executive and holds nearly half a billion in equities, it begins to look a lot like common sense not to play the short game after a stimulus bill. 6. The volatility you experience is caused mainly by institutions taking advantage of the retail investor through short and long squeezes. Remember, they hold most of the shares. 7. Ride the wave, the trend is your friend. Money and risk management is the only thing you should worry about. Institutions can drive the price in any direction, regardless of what the news say. More	[]	[]
BobDole	6 hours ago	5	1	Same thing happened in New York. Same in Wuhan. No doubt this is being played out in countries all over the world. The death toll is higher than reported. 100 years from now, historians and researchers will still try piecing the real estimated death toll just like they're doing with the 1918 Spanish (American - since it's believed to have started in Kansas) Flu.  But even now, you have |='n morons protesting the social distancing and lockdowns, saying everyone's fear mongering because of human stupidity. Do I see these axxholes volunteering in hospitals or disposing of the dead bodies? Of course not. Without the scientists, I have no faith in humanity. Most people are ignorant morons, so quick to denial and anger anytime they can't comprehend something.    $^GSPC $^ICIX $^DJI $^RUT More Italian mayors tell CNN their information indicates the actual death toll from coronavirus in northern Italy may be more than twice the numbers officially reported. CNN's Ben Wedeman looks into the cases of some who died with Covid-19 symptoms, but w Italian mayors tell CNN their information indicates the actual death toll from coronavirus in northern Italy may be more than twice the numbers officially reported. CNN's Ben Wedeman looks into the cases of some who died with Covid-19 symptoms, but w amp.cnn.com	[]	[]
Agentkagent	6 hours ago	5	0	Quarter one has less than one month of shut down. Earnings for quarter one is bad enough. Wait for quarter two. In many states, shut down extends to end of May. That is two months of shut down minimum for quarter two. Go figure the earnings for quarter two. You say market anticipates. Now anticipate quarter two.	[]	[]
K	6 hours ago	0	2	Any thoughts as to when we may reach 3000? Also, what are the current support and resistance levels? Thanks in advance and G/L!	[]	[]
Johan	7 hours ago	0	0		[]	['https://media.tenor.com/videos/2dd94ff0e93c44b62e20c61867359851/mp4']
DERKO	8 hours ago	2	0	it's great to hear T-rump talk (yesterday) about how high the stock market is but has no idea how it got there, master con man in his prime....	[]	[]
