Username	TimeStamp	ThumbUp	ThumbDown	Comment
Rob	26 minutes ago	1	0	Many businesses annouce closing forever.
Isabelle	1 hour ago	8	1	https://health-primary.care/COVID-19-Protective-Hand-Sanitizer
DERKO	2 hours ago	0	0	lets hear what all the experts say about this.....it's all priced in I'm sure, the experts are much smarter then they were in 2008.  this will be the first reply "she has no clue what she's talking about" or US markets know better...okhttps://ca.finance.yahoo.com/news/imf-chief-says-pandemic-unleash-120255422.html
Peter	4 hours ago	1	0	exactlly a 50% retracement..bottom mch top feb..looks like a perfect market..from now on it's 50/50..enjoy Easter :)
aviselafin73	4 hours ago	0	0	Has Buffet spent any of that $125 Billion in cash ??
reba	4 hours ago	0	0	I see it big time
Michael	4 hours ago	4	0	I am sick of these markets
Agentkagent	5 hours ago	4	2	It's now clear that coronavirus originated in the USA.  It was transmitted to Europe and China. The massive flu deaths starting from Sept 2019 in the USA are actually coronavirus. But the government refused to test them and hid the truth fro the public.
OIL IS COLLAPSING	5 hours ago	8	1	US Stock indexes will COLLAPSE by 20-25% next week.
reba	5 hours ago	0	0	call your state representatives
reba	5 hours ago	0	0	read the bill any company getting $ will have to have audited financial statements exactly who could go to a 
reba	5 hours ago	0	4	He is man enough to call it like it is. INTEGRITY
Tyson	7 hours ago	15	2	Well after this week I'm not comfortable buying or selling this market. Way to much manipulation. Way worse now than China ever was. Some may argue buy because the Fed will never stop, but at some point something we will never hear about will go wrong and we will unexpectedly crash back to reality, but how far will it be? and how long? it's not a safe short game either simply because of the duration. I guess I will just have to start trading precious metals while it is still legal, maybe I'll get some physical too and that can be my hedge against our countries implosion. I really don't have any confidence left in gov't. right now.
Tiger3242	7 hours ago	2	0	So who thinks this short rally is a head fake due to all the stimulus or a true rally?
Joemama630	8 hours ago	2	3	The deficit for fiscal 2020 is ALREADY at 741 B... definitely going to a trillion this year (ends Sept).  Last year fiscal 2019 - 984 B.  Do you know what it was when O left office ???   Look it up.  nearly half.  after inheriting a Trillion dollar deficit from GWB.  Thought the GOP was fiscally responsible?  NOT SO MUCH.
Tom	8 hours ago	4	6	Dont FIGHT THE FED !!!!!!!!!!!!!!!!!!!!!!!!!!
James	8 hours ago	6	3	No way this would go up into long weekend without serious manipulation. FED quit helping the rich and help main street!
Jon 2.0	8 hours ago	1	1	More people shorting, the higher this will go. We can't beat the algo's or the FED. I've learned my lesson. If want to keep trying to get lucky go ahead. This probably aint dropping for a while, or ever.
LastFiscalConservative	8 hours ago	4	1	IN 5 MINS THEY CAN START RELEASING THE BAD NEWS
Moses	8 hours ago	0	0	Just put in sell orders for $96k in mutual funds, lets get the last second pump so we get good prices.
Mach2	8 hours ago	1	0	I heard caveman say the other day he lost his rear in the markets but saved 15% with GEICO.
Deniz	8 hours ago	0	0	Volume goes with the trend ???
James	8 hours ago	4	0	Trump probably ordered FED to make S&P 2800 for Easter weekend.
Tom	8 hours ago	6	0	SELL here now !!!!!!!!!!!!!!!!!!!!!!!!!!!top is in.............................
Tanshan	8 hours ago	0	2	I am not sure now holding the short for whole week loosing 2 k per day lol
Bananaman	8 hours ago	8	1	time to short
James	9 hours ago	8	2	Joke market is still getting pumped. FED trying to keep it from going red before long Easter weekend.
Tom	9 hours ago	5	0	2780going Short........................................
ethan	9 hours ago	1	3	Never seen so many people upset that the market stopped free falling for a week
David	9 hours ago	8	1	First time since I've had any wealth that I'm selling on a rise, but this thing is only 15% off its all time highs.  I don't care how much Fed money pours in, eventually earnings will matter.  Q1 will be flat GDP probably, Q2 down 20%?  Selling about 25% of our mutual fund exposure at today's close, can't imagine that market keeps going up when reality comes.
dino	9 hours ago	5	1	SP 500 is not even cheap valuation anymore.  Not sure why they keep buying.
G	9 hours ago	0	1	the fed can push this to 300
James	9 hours ago	6	1	Still very low volume. With price movements and what is going on in the world, volume should be way higher.Shady stuff going on.
I Will Make Some Money	9 hours ago	2	0	Ask the FED to pay the rent, what? why are you laughing?
LastFiscalConservative	9 hours ago	5	0	1/3 did not pay rent on April 1.  May 1 could be 65%
LastFiscalConservative	9 hours ago	5	0	odd, how no one can look out even 1 month and see the problems and debts that are here to stay
Tom	9 hours ago	5	0	all this $$$$$$$$$$$$$$$$$$$$$$$$$$ from Fed  ......................and markets dumping now???????
Tom	9 hours ago	5	0	Gains EVAPORATED !!!!!!!!!!!!!!!!!!!!!sell signal...............................................
scott	9 hours ago	5	0	This is just going to end flat.  This market is a waste of life and money.
Valerio	9 hours ago	2	0	Nice shooting star forming on the daily chart
Oliver	9 hours ago	3	0	Oh no! It's happening!
scott	9 hours ago	2	0	Easter massacre? Or a flat waste of life?
James	9 hours ago	4	0	Big money laughing as they take their huge profits as Main Street suffers.
I Will Make Some Money	9 hours ago	3	0	15K Deaths (official number BTW) so far in the US....
Tom	9 hours ago	9	0	Sell here ...........................Big Boys dumping./......................
Mustacho	9 hours ago	4	0	The elephant in the room is the DEFICIT. Not one politician is talking about the consequences of what the Federal Reserve and Treasury are doing. Another taboo word is TAXES. Who is going to pay for all this? You are!
Tom	9 hours ago	2	1	Ban Saudi oil to the USA !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Tom	9 hours ago	3	1	TRUMP needs to place TARIFFS on SAUDI OIL !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!Place more sanctions to RUSSIA !!!!!!!!!!!!!!!!!!!!!!!
Valerio	9 hours ago	1	0	Ready for the last hour pump?
Moses	9 hours ago	2	0	Planning on trimming 50% of our mutual funds at days end.  I keep thinking what is better chance in three months - market up 10% or market down 20%.  To me hands down its down 20%.
A	9 hours ago	2	0	The Ponzi Market is STRONG! SMH.
I Will Make Some Money	9 hours ago	2	0	How many here are still paying taxes every month? feeling stupid yet?
nino	9 hours ago	3	0	Wait when when stats show up that real estate values dropped 5%.
